epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,2908.24,0.45815,0.32879,0.82107,0.99373,0.96028,0.98729,0.8213,0.75169,0.38876,0.91256,0.000513688,0.000513688,0.000513688
121,2936.42,0.45621,0.33356,0.82772,0.957,0.9605,0.97849,0.80817,0.76967,0.45361,0.91688,0.0005075,0.0005075,0.0005075
122,2954.46,0.44275,0.30823,0.81756,0.95165,0.94476,0.97621,0.81271,0.72572,0.45742,0.90032,0.000501313,0.000501313,0.000501313
123,2972.62,0.43671,0.3201,0.82446,0.96369,0.94405,0.97921,0.7937,0.81261,0.47152,0.91917,0.000495125,0.000495125,0.000495125
124,2992.38,0.42919,0.31355,0.80947,0.95571,0.93183,0.96254,0.79967,0.7692,0.49616,0.91814,0.000488938,0.000488938,0.000488938
125,3011.43,0.452,0.31935,0.82265,0.97113,0.94484,0.97564,0.7925,0.77763,0.45983,0.93253,0.00048275,0.00048275,0.00048275
126,3029.74,0.43916,0.31712,0.80283,0.97378,0.94635,0.97638,0.81358,0.73719,0.44212,0.91044,0.000476562,0.000476562,0.000476562
127,3048.29,0.41392,0.29936,0.80785,0.97487,0.96869,0.97856,0.79912,0.76808,0.41608,0.91242,0.000470375,0.000470375,0.000470375
128,3067.39,0.41606,0.32076,0.81467,0.99086,0.97619,0.99118,0.81184,0.77746,0.36213,0.91624,0.000464188,0.000464188,0.000464188
129,3088.31,0.44084,0.3114,0.81683,0.9917,0.98343,0.992,0.82176,0.75547,0.35262,0.9084,0.000458,0.000458,0.000458
130,3113.81,0.4086,0.30731,0.81622,0.99069,0.97619,0.99218,0.81943,0.73586,0.33349,0.90489,0.000451813,0.000451813,0.000451813
